City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,inarajan village,13.2736,144.7484,28.55,95,51,4.98,GU,1697666356
1,invercargill,-46.4,168.35,12.79,78,98,8.94,NZ,1697666357
2,lihue,21.9789,-159.3672,28.19,64,40,4.12,US,1697666226
3,silifke,36.3778,33.9344,21.43,71,31,3.05,TR,1697666359
4,okha,53.5739,142.9478,6.62,91,100,9.6,RU,1697666360
5,west island,-12.1568,96.8225,24.99,88,75,5.14,CC,1697666361
6,port-aux-francais,-49.35,70.2167,2.83,93,100,8.85,TF,1697666362
7,puerto ayora,-0.7393,-90.3518,29.98,95,94,3.13,EC,1697666363
8,adamstown,-25.066,-130.1015,22.74,78,65,3.3,PN,1697666364
9,tiksi,71.6872,128.8694,-7.81,97,100,2.34,RU,1697666365
10,bethel,41.3712,-73.414,15.57,77,93,1.1,US,1697666201
11,yellowknife,62.456,-114.3525,6.9,99,100,5.14,CA,1697666367
12,lebu,-37.6167,-73.65,13.16,73,6,5.07,CL,1697666368
13,chabahar,25.2919,60.643,27.01,78,47,2.33,IR,1697666369
14,atafu village,-8.5421,-172.5159,28.59,72,34,3.61,TK,1697666369
15,punta arenas,-53.15,-70.9167,14.06,51,0,7.2,CL,1697666107
16,aldama,22.9167,-98.0667,30.28,40,42,5.13,MX,1697666371
17,edinburgh of the seven seas,-37.0676,-12.3116,12.93,93,100,11.89,SH,1697666372
18,dukhan,25.4297,50.7858,28.9,56,1,1.94,QA,1697666373
19,badger,64.8,-147.5333,-1.07,80,100,3.09,US,1697666374
20,inirida,3.8653,-67.9239,27.42,80,73,1.38,CO,1697666374
21,arroyito,-31.4202,-63.05,15.45,29,99,2.61,AR,1697666375
22,port alfred,-33.5906,26.891,18.43,95,87,0.45,ZA,1697666376
23,cozumel,20.5083,-86.9458,28.86,69,96,4.02,MX,1697666377
24,berdigestyakh,62.0989,126.6992,-4.84,89,100,3.58,RU,1697666377
25,buka,40.8108,69.1986,16.92,49,100,0.86,UZ,1697666378
26,ridder,50.355,83.5133,7.09,55,0,2.44,KZ,1697666380
27,livramento do brumado,-13.6431,-41.8406,26.22,35,45,1.55,BR,1697666381
28,vorgashor,67.5833,63.95,0.21,83,50,6.21,RU,1697666382
29,n'dalatando,-9.2978,14.9116,21.85,86,100,1.18,AO,1697666383
30,rio preto da eva,-2.6994,-59.6997,28.86,62,64,1.53,BR,1697666383
31,sampit,-2.5333,112.95,23.67,97,99,1.02,ID,1697666384
32,novodvinsk,64.4165,40.8122,3.77,78,100,5.07,RU,1697666385
33,olonkinbyen,70.9221,-8.7187,3.58,88,100,10.41,SJ,1697666386
34,kodiak,57.79,-152.4072,7.75,53,0,6.97,US,1697666387
